Neighbourhood Name,NeighbourhoodNumber,Number,income2019,Population,Distress Calls,DCoverPopulation,PopPe,ARHr2022,CrimeRate,Common Language,NonIm,Im,1atotalPop,1a0to4,1a5to9,1a10to14,1a15to19,1a20to24,1a25to29,1a30to34,1a35to39,1a40to44,1a45to49,1a50to54,1a55to59,1a60to64,1a65to69,1a70to74,1a75to79,1a80to84,1a85to89,1a90to94,1a95to99,1a100to,2averageAge,2averageAgeM,4avgIncome,4tax,4market,4employment,4gov,4ei,4covid,4avgIncomeM,4taxM,4marketM,4employmentM,4govM,4eiM,4covidM,8owner,8renter,11a,11aM,12a,12aM,ASSAULT_RATE_2014,ASSAULT_RATE_2015,ASSAULT_RATE_2016,ASSAULT_RATE_2017,ASSAULT_RATE_2018,ASSAULT_RATE_2019,ASSAULT_RATE_2020,ASSAULT_RATE_2021,ASSAULT_RATE_2022,ASSAULT_RATE_2023,AUTOTHEFT_RATE_2014,AUTOTHEFT_RATE_2015,AUTOTHEFT_RATE_2016,AUTOTHEFT_RATE_2017,AUTOTHEFT_RATE_2018,AUTOTHEFT_RATE_2019,AUTOTHEFT_RATE_2020,AUTOTHEFT_RATE_2021,AUTOTHEFT_RATE_2022,AUTOTHEFT_RATE_2023,BIKETHEFT_RATE_2014,BIKETHEFT_RATE_2015,BIKETHEFT_RATE_2016,BIKETHEFT_RATE_2017,BIKETHEFT_RATE_2018,BIKETHEFT_RATE_2019,BIKETHEFT_RATE_2020,BIKETHEFT_RATE_2021,BIKETHEFT_RATE_2022,BIKETHEFT_RATE_2023,BREAKENTER_RATE_2014,BREAKENTER_RATE_2015,BREAKENTER_RATE_2016,BREAKENTER_RATE_2017,BREAKENTER_RATE_2018,BREAKENTER_RATE_2019,BREAKENTER_RATE_2020,BREAKENTER_RATE_2021,BREAKENTER_RATE_2022,BREAKENTER_RATE_2023,HOMICIDE_RATE_2014,HOMICIDE_RATE_2015,HOMICIDE_RATE_2016,HOMICIDE_RATE_2017,HOMICIDE_RATE_2018,HOMICIDE_RATE_2019,HOMICIDE_RATE_2020,HOMICIDE_RATE_2021,HOMICIDE_RATE_2022,HOMICIDE_RATE_2023,ROBBERY_RATE_2014,ROBBERY_RATE_2015,ROBBERY_RATE_2016,ROBBERY_RATE_2017,ROBBERY_RATE_2018,ROBBERY_RATE_2019,ROBBERY_RATE_2020,ROBBERY_RATE_2021,ROBBERY_RATE_2022,ROBBERY_RATE_2023,SHOOTING_RATE_2014,SHOOTING_RATE_2015,SHOOTING_RATE_2016,SHOOTING_RATE_2017,SHOOTING_RATE_2018,SHOOTING_RATE_2019,SHOOTING_RATE_2020,SHOOTING_RATE_2021,SHOOTING_RATE_2022,SHOOTING_RATE_2023,THEFTFROMMV_RATE_2014,THEFTFROMMV_RATE_2015,THEFTFROMMV_RATE_2016,THEFTFROMMV_RATE_2017,THEFTFROMMV_RATE_2018,THEFTFROMMV_RATE_2019,THEFTFROMMV_RATE_2020,THEFTFROMMV_RATE_2021,THEFTFROMMV_RATE_2022,THEFTFROMMV_RATE_2023,THEFTOVER_RATE_2014,THEFTOVER_RATE_2015,THEFTOVER_RATE_2016,THEFTOVER_RATE_2017,THEFTOVER_RATE_2018,THEFTOVER_RATE_2019,THEFTOVER_RATE_2020,THEFTOVER_RATE_2021,THEFTOVER_RATE_2022,THEFTOVER_RATE_2023,OVERDOSE_2014,OVERDOSE_2015,OVERDOSE_2016,OVERDOSE_2017,OVERDOSE_2018,OVERDOSE_2019,OVERDOSE_2020,OVERDOSE_2021,OVERDOSE_2022,OVERDOSE_2023,SUICIDE_2014,SUICIDE_2015,SUICIDE_2016,SUICIDE_2017,SUICIDE_2018,SUICIDE_2019,SUICIDE_2020,SUICIDE_2021,SUICIDE_2022,SUICIDE_2023,CRISIS_2014,CRISIS_2015,CRISIS_2016,CRISIS_2017,CRISIS_2018,CRISIS_2019,CRISIS_2020,CRISIS_2021,CRISIS_2022,CRISIS_2023,POPULATION_2014,POPULATION_2015,POPULATION_2016,POPULATION_2017,POPULATION_2018,POPULATION_2019,POPULATION_2020,POPULATION_2021,POPULATION_2022,POPULATION_2023
Dufferin Grove,083,83,37200,11215,1484,0.132322782,1.041852406,839.8700578,0.901335661,Portuguese,0.612399643,0.387600357,11210,385,450,375,410,570,1040,1520,1270,955,780,660,595,580,430,455,340,215,100,70,10,0,40.9,38,54900,45320,51000,52450,10010,6520,10200,40800,36800,36000,40000,8300,5720,10000,0.414611006,0.585388994,1237000,1000000,1604,1500,775.9617,750.1443,780.0312,690.72,945.2856,722.7385,682.3231,708.035,681.404,1164.529053,99.05894,57.7034,65.68684,89.38729,136.1852,47.65308,142.8118,159.109,159.109,141.6319122,214.6277,329.7337,369.4885,365.6753,240.3268,357.3981,293.5576,222.7526,222.7526,456.3695068,231.1375,280.2737,221.6931,203.1529,368.5012,349.456,444.3034,230.708,213.9292,283.2638245,0,0,8,0,0,0,7.933989,0,0,0,272.4121,172.4279,105.6395,208.2833,254.1498,158.6798,31.8218,158.466,280.2737,228.1847534,0,0,8.210855,16.25224,16.02179,0,23.80197,15.9109,15.84661,7.868439674,445.7652,247.3003,312.0125,276.288,384.5229,357.3981,372.8975,190.9308,427.8583,306.8691406,66.03929,41.21672,24.63256,24.37835,72.09805,63.53745,31.73596,23.86635,47.53981,62.9475174,148.5884049,115.4068134,65.6868403,105.6395249,112.1525269,63.53744742,126.9438249,127.2871972,110.9262312,267.5269446,313.6866325,313.2470649,394.1210418,406.3058651,424.5774231,460.6464938,293.5575952,262.5298441,396.1651115,346.2113401,685.1576447,634.7374737,903.1940541,836.9900821,664.9042664,722.7384644,595.0491794,819.4113317,744.7904095,684.5542406,12114,12131,12179,12306,12483,12591,12604,12570,12621,12709
Little Portugal,084,84,44000,15485,2259,0.145883113,1.196030555,739.4468705,1.112357663,Portuguese,0.644171779,0.355828221,15480,570,480,445,410,825,2275,2530,1865,1310,980,765,670,565,520,400,345,285,160,60,20,0,39,35.2,64100,51400,61550,62200,9010,6345,10360,46000,40800,45200,49200,6120,5600,10500,0.427756654,0.572243346,1084000,1000000,1772,1800,571.0306,531.8795,698.6788,580.2708,530.4231,526.8199,497.7188,630.7847,657.933,741.421936,76.60167,93.07892,76.21951,112.3105,73.16181,65.85249,165.9063,41.26628,41.26628,132.1914978,271.5877,265.9398,260.4167,505.3972,341.4218,383.1418,438.4666,247.5977,247.5977,97.70676422,285.5153,259.2913,254.065,249.5788,341.4218,347.2222,319.9621,235.8073,186.3173,183.9186096,6.963788301,13,6,0,6.096817,0,0,0,0,0,76.60167,57.16463,81.11312,73.16181,59.8659,53.32701,58.95184,81.51382,46.53946,86.21185303,0,6.648494,0,0,6.096817,5.98659,0,5.895184,0,5.747456551,174.0947,212.7518,196.9004,274.5367,189.0013,245.4502,254.7846,153.2748,145.5604,258.6355591,34.81894,6.648494,25.4065,12.47894,67.06499,53.87931,35.55134,41.26628,23.28967,57.47456741,69.63788288,113.0243973,57.16463179,68.63418218,73.1618063,113.7452157,118.5044715,76.63738957,128.0931591,201.1609904,243.7325901,359.0186737,362.042668,268.2972576,499.9390097,371.1685985,414.7656504,365.5013964,436.6812242,448.3016357,940.1114189,771.2252991,762.1950905,673.8628796,823.0703209,886.0153642,1196.895163,919.6486748,1181.950513,885.1083577,14360,15041,15744,16027,16402,16704,16877,16963,17175,17399
South Parkdale,085,85,32000,20495,6684,0.326128324,1.067436141,1247.756228,1.104666084,Tibetan,0.530731707,0.469268293,20505,705,660,550,710,1135,2440,2830,2215,1770,1385,1280,1270,1150,835,695,410,275,130,50,10,0,40.2,37.2,48000,40440,45480,46400,10950,6155,10220,35200,32800,31800,34800,9500,5480,10500,0.151528578,0.848471422,976000,800000,1298,1200,958.0334,1059.411,1102.12,1077.734,992.0187,1138.587,1108.951,1209.126,1203.975,1405.395996,60.75334,93.34018,106.9568,87.13598,76.656,97.84736,75.10825,75.01875,75.01875,186.5186157,121.5067,112.0082,144.1592,210.9608,198.4037,346.9134,220.9066,141.2118,141.2118,130.1292572,210.3,238.0175,330.1711,265.994,351.7157,395.837,393.2137,278.0107,267.0636,273.2714539,0,0,5,0,0,4.447607,0,0,4.378092,0,112.16,190.6622,142.1692,166.8395,151.2186,83.94451,88.25735,39.40283,182.0134,99.76576996,0,4.667009,32.55208,27.51662,27.05506,8.895214,17.67253,17.65147,13.13428,0,369.1934,200.6814,227.8646,394.4049,198.4037,244.6184,181.1434,229.4691,345.8693,147.4798279,23.36667,18.66804,41.85268,50.44714,40.58258,106.7426,57.43571,26.47721,43.78092,91.09048462,116.8333472,116.6752215,134.8586245,215.5468994,297.6056213,831.7025163,1219.404476,851.6835395,424.6749098,811.1390471,457.9867211,606.7111517,571.9865798,600.7796558,689.9039404,889.5214078,799.6819208,864.9221437,879.9964627,954.2812319,1696.420202,1722.126269,1860.118959,1715.202987,1736.032791,1765.699995,2178.139155,1765.147232,1948.250875,1908.562464,21398,21427,21504,21805,22177,22484,22634,22661,22841,23054
Roncesvalles,086,86,43600,14610,1678,0.114852841,1.022738939,730.6166152,1.118545389,Tibetan,0.695518303,0.304481697,14600,680,645,800,650,540,1165,1495,1470,1245,1125,1115,940,845,640,525,340,190,130,60,0,0,40.3,39.2,70000,55350,69600,69900,9620,6940,10260,45600,40800,46000,48400,7300,5840,10000,0.464996315,0.535003685,1352000,1300000,1554,1400,502.4478,758.0666,772.6771,720.7207,539.6483,706.0455,698.9924,568.5408,623.5435,853.2530518,77.29967,38.87521,77.91702,128.7001,139.6737,88.25569,94.45844,113.7082,113.7082,175.6697388,167.4826,272.1265,181.8064,463.3205,431.7186,340.4148,283.3753,151.6109,151.6109,131.7523041,244.7823,233.2513,272.7096,308.8803,476.1602,598.8779,421.9144,423.247,333.8162,301.1481323,0,0,0,0,12.69761,6.303978,0,0,0,0,154.5993,194.7925,160.8752,139.6737,157.5994,138.539,75.80544,107.0731,129.584,131.7523041,0,0,25.97234,38.61004,12.69761,31.51989,6.297229,18.95136,0,6.273919106,148.1577,181.4176,220.7649,379.6654,349.1842,283.679,321.1587,259.0019,144.8636,244.6828461,12.88328,12.9584,19.47925,77.22008,31.74402,63.03978,25.18892,50.53696,50.38735,31.36959648,103.0662184,110.1464275,64.93085076,141.5701381,95.23204489,138.6875153,195.2141025,189.5135905,151.1620546,200.765424,206.1324369,220.292855,220.7648926,244.5302386,368.2305736,397.1506119,346.3476012,334.8073432,277.1304334,307.4220554,734.3468064,1017.234654,759.6909538,643.5006278,615.8338903,630.3977966,755.6674936,966.5193116,730.6165971,552.1049159,15524,15434,15401,15540,15751,15863,15880,15830,15877,15939
High Park-Swansea,087,87,56000,22665,2964,0.130774322,1.098681572,446.5672569,0.993884595,Polish,0.698213104,0.301786896,22665,965,1155,1270,1085,975,1435,2165,1930,1710,1670,1565,1555,1465,1165,1010,635,475,280,120,35,0,41.6,40.8,90300,67500,88100,88300,8720,6220,9640,56400,49200,53200,56000,5560,5360,9500,0.597607656,0.402392344,1424000,1200000,1664,1530,375.4426,517.459,401.3572,395.4019,336.4037,406.4078,305.8464,340.7755,392.2025,405.5863647,81.06148,67.31174,49.65243,57.06832,84.10092,114.4255,164.6865,101.841,101.841,206.6194763,81.06148,92.55364,235.8491,134.5182,184.2211,138.0997,78.42215,121.4258,121.4258,72.69944763,196.2541,210.3492,132.4065,163.0523,180.2163,213.0682,196.0554,113.5919,194.1597,198.9669037,0,0,0,0,0,3.945707,0,0,3.883193,3.826286554,106.6598,74.47865,110.0603,52.06247,102.5884,39.21107,47.00352,50.48152,172.4863,34.43658066,0,4.206984,16.55081,12.22893,8.009611,11.83712,7.842215,7.833921,11.64958,11.4788599,230.3853,298.6958,211.0228,232.3496,108.1298,228.851,196.0554,129.2597,209.6924,153.0514679,34.13115,21.03492,20.68851,40.76308,12.01442,51.29419,31.36886,15.66784,19.41597,38.26286697,68.26229582,46.27681974,45.51473149,77.44985993,72.08650425,55.23990016,54.89550312,78.33920533,77.66387034,95.65716149,281.5819703,290.2818693,252.3998746,244.5785051,324.3892691,339.3308153,364.662985,278.1041789,302.8890943,286.9714845,780.7500084,744.6360995,815.127464,811.1853751,1005.206254,883.8384026,952.8290898,779.4750931,737.8067682,654.2949846,23439,23770,24168,24532,24970,25344,25503,25530,25752,26135
High Park North,088,88,48000,21855,2766,0.126561428,1.078949882,600.1158844,1.390165792,Russian,0.63349348,0.36650652,21845,955,935,885,765,930,1845,2600,2305,1705,1570,1350,1410,1255,1125,935,535,350,240,90,60,0,41.3,39.2,71000,55450,68700,69600,8970,6335,9860,48400,42800,46800,48800,6320,5480,10000,0.334234234,0.665765766,1354000,1300000,1666,1640,357.2386,405.0024,398.1068,457.1777,440.6606,383.6425,372.4629,397.0576,538.0349,764.0761719,35.72385,62.30807,30.96386,39.18666,85.56516,105.3963,75.32957,91.95018,91.95018,167.5247192,142.8954,160.2207,203.4768,261.2444,226.7477,210.7926,242.7286,121.2071,121.2071,114.4071274,75.91319,311.5403,123.8554,235.1199,265.252,286.6779,133.9192,158.823,132.4394,220.6423187,4.465481825,0,0,0,0,0,0,0,4.13873,4.085968971,66.98223,123.8554,152.3926,106.9564,46.37437,71.14459,41.79554,57.94222,102.3633,98.06324768,0,0,0,0,0,0,0,0,0,0,156.2919,93.4621,79.62135,182.8711,124.0695,189.7133,192.5089,112.8479,144.8556,106.2351913,22.32741,8.901153,8.846817,8.708146,17.11303,21.07926,16.7399,20.89777,24.83238,16.34387589,66.98222923,57.85749163,39.8106781,82.72739404,51.33909355,67.45362402,46.03473552,104.4888386,78.63587136,167.5247222,330.4456642,378.2989837,393.6833723,322.2014294,474.8866154,434.2327046,439.4224754,363.6211583,509.0637988,678.2708264,495.6684963,507.3656958,610.4303975,570.3836115,646.0169272,556.4923981,740.7407442,769.0378521,976.7402968,1487.292655,22394,22469,22607,22967,23374,23720,23895,23926,24162,24474
Runnymede-Bloor West Village,089,89,60000,10120,777,0.076778656,1.032143017,522.1445221,1.532364446,Ukrainian,0.773715415,0.226284585,10120,600,705,700,620,370,395,590,805,885,875,790,760,615,475,400,225,145,125,30,10,0,39.7,41.6,88400,67200,86500,89500,8110,8760,9270,60400,52000,57600,65000,3960,6040,8000,0.778645833,0.221354167,1392000,1370000,1852,1600,259.8402,374.1007,352.2468,302.3146,289.8009,398.8868,297.0665,233.7104,391.6084,538.4329834,144.3557,115.1079,85.68165,188.9466,243.0588,269.0167,157.8166,186.9683,186.9683,389.8997498,202.098,182.2542,142.8027,198.394,46.74208,74.2115,74.26662,65.43891,65.43891,139.2499084,202.098,239.8082,209.444,179.4993,205.6651,250.4638,269.2165,112.181,205.1282,287.7831421,0,0,0,0,0,0,0,0,9.324009,0,115.4846,133.2826,132.2626,177.6199,185.5288,64.98329,46.74208,121.2121,182.2542,167.099884,0,9.592326,0,0,0,0,0,0,0,9.283327103,307.9588,278.1775,171.3633,198.394,186.9683,324.6753,139.2499,224.362,298.3683,176.3832092,9.623713,9.592326,9.520183,0,18.69683,18.55288,27.84998,74.78732,0,55.69996262,48.11856306,38.36930338,28.56054852,37.78932571,84.13573726,55.65862895,74.26661683,56.09049317,93.24009486,83.5499457,163.6031144,278.1774495,276.0853024,160.6046343,280.4524575,343.2282119,250.6498318,196.3167261,177.1561802,241.3665098,365.7010792,354.9160563,390.3274965,340.1039314,373.9366101,547.3098513,677.6828785,467.4207764,596.7366071,492.0163469,10391,10425,10504,10585,10697,10780,10772,10697,10725,10772
Junction Area,090,90,44000,14010,2129,0.151962884,1.046668529,897.0695727,1.096577507,Portuguese,0.673804425,0.326195575,14015,705,680,660,575,630,1065,1490,1345,1200,1110,990,985,795,620,550,240,195,115,55,10,0,40,39.6,62550,50680,59500,60750,9220,6580,9950,47200,42000,44800,46800,6450,5480,10000,0.57995029,0.42004971,1129000,1000000,1552,1460,702.4621,702.4133,742.2823,616.6918,898.8916,621.8656,686.3007,768.2031,750.8804,891.6863403,173.8768,166.9101,138.7444,164.4511,256.8262,207.2885,233.209,167.0007,167.0007,301.5997925,173.8768,139.0917,180.3677,157.599,175.7232,147.108,139.9254,100.2004,100.2004,104.904274,250.3825,229.5014,228.9282,315.198,419.0322,280.8425,339.8188,300.6012,372.1177,445.8431702,6.955070246,0,0,0,0,0,0,0,0,0,104.3261,83.24662,95.92983,175.7232,100.3009,79.95736,60.12024,146.1891,104.3188,124.5738297,6.95507,6.954587,6.937218,0,6.758584,13.37345,0,0,0,6.556517124,236.4724,264.2743,235.8654,322.0502,432.5493,354.3965,346.4819,240.481,225.9286,262.2606812,27.82028,13.90917,27.74887,54.81705,40.5515,60.18054,39.97868,33.40014,86.38448,59.00865555,97.37098377,104.3188023,90.18383675,137.0426161,114.895919,60.18054199,113.2729243,267.2010657,199.3487873,118.0173097,424.2592864,410.3206225,332.9864741,479.6491564,371.7220909,568.3717855,466.4179237,494.3219716,471.7921299,511.4083422,890.2489945,1057.097197,1026.708295,822.2556967,824.5471834,902.7081299,1072.761225,781.5631173,1010.033856,694.9908241,14378,14379,14415,14594,14796,14955,15008,14970,15049,15252
Weston-Pelham Park,091,91,33200,10680,1234,0.115543071,1.032654783,919.9178645,1.069457606,Portuguese,0.540730337,0.459269663,10690,585,540,455,510,610,795,950,1040,825,740,765,725,660,480,395,245,175,135,45,15,0,40.3,39.2,45760,39400,42520,45560,11750,6940,9940,35600,32800,32400,37600,10400,6000,10000,0.593563766,0.406436234,905000,900000,1092,1020,780.3223,821.5151,730.3124,666.7821,739.6072,962.5848,847.1761,763.2321,829.5688,965.1257324,195.0806,138.3604,140.7831,60.61656,119.0173,108.8139,157.8073,132.736,132.736,170.3162994,135.7082,112.4178,35.19578,51.95705,0,75.33272,49.83389,16.592,16.592,56.77210236,220.5259,198.8931,131.9842,69.27606,195.5284,200.8873,240.8638,190.808,114.9897,308.1914063,8.481764207,9,9,0,8.501233,8.370302,0,0,0,0,93.29941,131.9842,86.59509,212.5308,41.85151,33.22259,49.77601,90.34908,112.4178,48.66180038,8.481764,8.647527,35.19578,17.31902,34.00493,25.11091,33.22259,33.18401,32.85421,32.44120026,186.5988,242.1308,184.7778,95.25459,229.5333,200.8873,299.0033,141.032,180.6982,129.764801,33.92706,34.59011,70.39156,8.659508,17.00247,25.11091,24.91694,8.296001,24.64066,32.44120026,93.29940863,60.53268979,70.3915545,86.59507851,51.00739578,92.07332657,99.66777487,82.96001268,32.85420937,64.88240218,212.0441105,233.483232,263.9683294,355.0398219,246.5357463,200.887258,282.3920288,207.4000317,443.5318265,267.639909,882.1034997,735.0398046,703.915545,588.8465338,765.1109367,602.6617739,813.9534948,539.2400825,755.6468155,827.2506278,11790,11564,11365,11548,11763,11947,12040,12054,12175,12330
Corso Italia-Davenport,092,92,39200,13200,1401,0.106136364,1.01818439,749.8295842,1.117822314,Portuguese,0.578030303,0.421969697,13185,660,695,495,550,710,1060,1305,1155,1080,855,870,820,845,665,470,340,265,220,95,30,0,41.3,40,56100,46080,52000,54600,10290,6700,9770,41200,37200,36000,42000,8500,5520,10000,0.632790029,0.367209971,1127000,1000000,1496,1400,499.7224,582.5243,483.6258,611.3477,618.6688,628.2935,575.9978,777.5732,674.8466,994.3181763,111.0494,62.41331,48.36258,82.4289,74.78415,108.0935,81.31734,150.058,150.058,263.7987061,90.22765,48.54369,62.18046,82.4289,33.99279,67.55844,101.6467,81.84981,81.84981,121.7532501,201.2771,152.5659,103.6341,212.9413,217.5539,270.2338,277.8343,211.4453,163.5992,277.3268433,0,7,0,0,0,0,6.776445,0,0,6.76406908,131.8712,200.3593,206.0723,122.3741,216.187,81.31734,6.820817,74.98296,110.957,128.5173187,0,0,6.90894,6.869075,0,13.51169,27.10578,0,20.4499,20.29220772,180.4553,249.6533,186.5414,144.2506,231.151,256.7221,304.94,156.8788,177.2325,263.7987061,13.88118,27.73925,13.81788,20.60723,33.99279,33.77922,40.65867,27.28327,20.4499,81.16883087,76.34647497,69.34813,41.45364206,82.4289057,74.78414346,128.3610288,115.1995605,163.6996171,74.98295763,101.4610384,235.9800135,249.653268,234.9039717,357.1919247,305.9351324,229.6986832,298.1635685,306.9367821,347.6482581,250.2705614,395.6135521,409.153967,649.4403922,549.526038,462.3019778,790.433704,697.973808,804.8564507,695.2965162,568.181815,14408,14420,14474,14558,14709,14802,14757,14661,14670,14784
Wychwood,094,94,40400,12800,1562,0.12203125,1.063763987,629.1482301,1.285266437,Portuguese,0.640625,0.359375,12795,590,545,635,530,595,975,1205,1090,965,830,870,865,770,715,535,420,305,245,95,15,0,42.5,41.2,70900,55400,68500,71000,10320,6960,10010,43600,39200,41200,44800,8200,6000,10000,0.506065858,0.493934142,1390000,1200000,1462,1330,397.1464,514.2899,599.7221,404.4489,532.4435,483.3964,585.0804,417.3913,587.666,609.213501,36.77282,110.205,138.96,86.66763,149.0842,63.0517,181.0963,90.43478,90.43478,177.9724884,80.9002,264.4919,255.9789,144.446,99.38947,161.1321,146.2701,90.43478,90.43478,88.9862442,227.9915,213.063,212.0968,274.4475,212.9774,343.2815,313.4359,229.5652,193.5841,280.6489258,0,0,0,0,0,7.005745,6.965243,0,0,0,110.3185,65.82316,130.0014,156.1834,84.06894,132.3396,34.78261,41.4823,88.16399,171.1273804,0,7.346999,0,0,7.099247,7.005745,13.93049,6.956522,6.913717,41.0705719,110.3185,168.981,190.1558,209.4468,305.2676,273.224,236.8183,90.43478,103.7057,150.5921021,22.06369,7.346999,29.25474,28.88921,14.19849,7.005745,6.965243,13.91304,62.22345,6.845095634,117.6730143,80.81698696,58.50947384,101.112236,70.99247233,56.04595859,125.3743809,83.47825928,76.05088824,82.1411462,213.2823384,271.8389561,226.7242111,353.8928261,347.8631144,448.3676687,417.9146031,521.7391205,290.3761187,397.01554,823.7111002,492.2489206,555.8400015,621.1180213,802.2149374,665.5457582,926.3773701,653.913031,781.2500338,718.7350293,13597,13611,13673,13846,14086,14274,14357,14375,14464,14609
Annex,095,95,49200,29300,6035,0.205972696,1.136175095,1220.679751,1.332655514,Mandarin,0.639078498,0.360921502,29280,880,780,775,865,2145,3535,3480,2445,1730,1635,1730,1825,1680,1470,1715,1120,815,465,165,25,0,43.4,39.6,115000,80700,116100,103600,8630,6470,10070,51600,45600,51200,48400,5960,5480,10000,0.408882083,0.591117917,1938000,1500000,1948,1740,720.6472,764.3915,872.9812,836.2026,785.2651,882.7199,795.6256,924.6586,1089.038,1147.759521,44.19063,50.73395,63.79478,78.70142,108.5326,84.21709,119.8046,118.624,118.624,234.7689972,326.3308,375.4312,419.7025,445.9748,395.8247,446.0387,503.7938,358.9135,358.9135,234.7689972,530.2876,365.2845,412.9873,383.6695,549.0471,661.2601,626.6703,477.5375,415.8688,399.9768066,0,0,0,0,6.384269,3.119152,0,0,0,0,142.7697,117.5167,203.312,137.2618,102.932,122.8765,142.9571,131.6419,138.6728,194.1916351,0,0,16.7881,6.558452,6.384269,6.238303,0,3.04164,5.983724,0,424.9099,581.7493,550.6497,564.0269,622.4662,539.6132,408.5645,243.3312,373.9828,310.1269531,74.78415,64.26301,73.86765,95.09756,140.4539,127.8852,95.22932,103.4158,110.6989,182.598114,84.98198311,145.4373285,157.8081402,147.5651768,175.5674086,168.4341877,205.8182081,261.5810426,173.5280012,298.5334108,632.2659544,554.6912064,550.6496808,590.2607073,558.6235729,761.0729963,900.0706712,757.3683676,900.5504892,852.1244929,798.8306413,930.1224497,889.7693012,1082.14463,1187.474109,1138.490343,1394.648753,1219.697652,1483.963597,1159.353052,29418,29566,29783,30495,31327,32060,32553,32877,33424,34502
Casa Loma,096,96,58800,11350,1021,0.089955947,1.075264064,600.9310199,1.808496096,Spanish,0.690748899,0.309251101,11345,345,395,435,480,580,925,1040,755,595,645,725,765,745,755,800,530,455,225,105,45,0,46.2,46,158600,107500,159400,144400,9010,6360,9570,60000,51600,58000,50800,7150,5480,9000,0.438037866,0.561962134,2446000,2000000,2142,1980,236.6218,308.1664,387.1432,301.4452,383.4423,473.3626,555.7455,392.9273,507.829,467.7580872,36.40335,27.19115,45.01665,70.92828,156.8627,43.03296,170.9986,170.838,170.838,350.818573,163.8151,172.2106,135.05,97.52637,148.1481,163.5253,205.1984,153.7542,153.7542,75.17540741,291.2268,217.5292,171.0633,239.3829,200.4357,292.6241,307.7975,298.9664,152.3487,392.5827026,0,0,0,0,8.714597,0,0,0,0,0,72.8067,18.00666,79.79431,52.28758,68.85274,25.6498,8.541898,93.10199,45.31859,125.2923508,0,0,0,0,0,0,0,8.541898,8.463818,0,209.3193,235.6567,207.0766,141.8566,191.7211,266.8044,247.948,68.33518,194.6678,83.52822876,36.40335,45.31859,63.02332,62.06224,17.42919,17.21318,59.84952,34.16759,25.39145,50.11693954,72.80669695,54.38230807,333.1232612,79.79430703,43.57298417,34.42637163,85.49931452,93.96087778,76.17435314,66.82258389,218.4200909,190.3380782,252.0932787,212.7848188,244.0087114,266.8043801,316.3474637,333.1340212,397.7993997,384.2298573,418.6385075,561.9505167,711.2631793,478.7658422,583.8779879,576.6417248,521.5458186,615.0166546,457.0461188,643.1673699,10988,11033,11107,11279,11475,11619,11696,11707,11815,11972
Yonge-St. Clair,097,97,60400,12905,807,0.062533902,1.095051509,379.6174624,2.030213861,Spanish,0.677256877,0.322355676,12915,470,410,435,350,460,1075,1380,1110,785,755,780,865,755,810,865,640,510,295,135,30,0,46.4,44.8,131400,92100,130400,123400,8950,6900,9670,62400,52800,59600,54000,6600,5640,10000,0.395284327,0.604715673,1938000,1740000,1974,1680,127.9079,205.6637,250.0195,199.7388,203.8351,260.3198,169.9424,368.8132,328.5151,250.8421173,15.98849,23.73042,54.69177,15.36452,45.29669,44.62626,66.49918,95.89142,95.89142,272.342865,63.95395,150.2927,109.3835,92.18714,113.2417,178.505,184.72,88.51516,88.51516,100.3368454,295.787,158.2028,93.75732,138.2807,181.1868,208.2559,199.4976,221.2879,189.8087,258.0090332,0,0,0,0,0,0,0,0,0,0,23.98273,46.87866,15.36452,7.549449,14.87542,29.55519,36.88132,51.10235,7.910141,14.33383465,0,0,7.81311,0,0,0,0,0,0,0,55.95971,71.19127,54.69177,53.77583,173.6373,163.6296,147.776,169.6541,51.10235,136.1714325,23.98273,39.5507,54.69177,0,22.64835,44.62626,22.1664,22.12879,7.300336,14.33383465,63.9539528,55.37098695,39.06555177,46.09356923,67.94503783,74.37709263,59.11038873,36.88131714,29.20134277,57.3353411,207.8503466,324.3157807,226.5802002,115.2339231,218.9340108,342.1346261,206.8863606,287.6742737,343.1157776,322.5112937,191.8618584,197.7535248,218.7670899,215.1033231,301.9779459,208.2558594,406.3839225,376.1894348,401.5184631,516.0180699,12509,12642,12799,13017,13246,13445,13534,13557,13698,13953
